amount,hour,customer_age_days,previous_transactions,previous_failures,avg_amount,amount_ratio,transactions_10min,transactions_1h,new_device,new_location,is_weekend,fraud
636.16,7,1200,25,0,1666.83,0.382,2,3,0,1,1,0
870.65,11,748,31,0,456.45,1.907,0,0,0,0,1,0
1154.27,18,393,39,1,501.88,2.3,0,0,0,0,0,0
1540.53,13,877,43,0,964.31,1.598,1,2,0,0,0,0
1501.29,8,1563,33,2,676.63,2.219,0,1,0,0,0,0
6135.17,3,1332,25,3,2598.74,2.361,10,13,1,1,0,1
925.74,9,728,36,0,595.38,1.555,4,5,0,0,0,0
751.09,7,1244,27,0,1709.08,0.439,1,3,0,0,1,0
783.54,12,1337,26,1,320.58,2.444,0,0,0,0,1,0
584.55,7,202,31,0,1161.57,0.503,1,2,0,0,0,0
709.35,16,702,26,0,1511.68,0.469,1,5,0,0,0,0
1090.73,13,1179,26,0,419.47,2.6,1,6,0,0,0,0
2094.76,21,322,32,1,308.01,6.801,0,5,0,0,0,0
826.87,8,588,23,0,272.13,3.039,1,4,0,0,0,0
575.81,10,971,30,1,915.97,0.629,3,4,0,0,0,0
1530.1,17,253,35,0,729.91,2.096,0,4,1,0,0,0
298.47,17,451,32,0,866.03,0.345,0,4,0,0,0,0
1593.57,12,343,32,0,1639.88,0.972,1,3,0,0,1,0
408.27,21,962,23,1,852.62,0.479,1,4,0,0,1,0
1288.76,20,1362,23,0,771.71,1.67,1,2,0,0,0,0
691.01,16,358,32,1,591.55,1.168,2,4,0,0,0,0
1071.16,18,833,28,0,1423.95,0.752,0,5,0,0,0,0
15184.81,0,685,33,1,971.8,15.625,8,26,1,1,0,1
566.36,14,1299,44,0,693.24,0.817,0,1,0,0,0,0
517.86,15,1788,38,0,1193.4,0.434,1,3,0,0,0,0
937.31,20,892,30,0,613.78,1.527,2,3,0,0,0,0
2077.52,6,476,24,1,642.48,3.234,2,5,0,0,0,0
990.83,7,424,23,0,977.85,1.013,2,3,0,0,0,0
920.15,14,374,24,0,487.3,1.888,1,1,1,0,1,0
985.35,15,596,29,1,480.68,2.05,0,3,0,0,0,0
516.68,9,666,24,0,798.15,0.647,1,3,0,0,0,0
8833.84,0,1722,37,2,917.32,9.63,13,15,0,1,0,1
723.39,6,343,27,1,707.1,1.023,3,3,0,0,0,0
1858.18,10,1239,34,0,769.19,2.416,0,4,1,0,0,0
1392.55,13,354,19,0,1099.98,1.266,1,2,0,0,0,0
433.52,6,491,24,0,587.18,0.738,0,2,1,0,0,0
768.37,16,1580,31,0,307.72,2.497,1,1,1,0,0,0
1200.38,15,1184,26,0,1307.84,0.918,1,4,0,0,1,0
523.3,15,65,26,0,441.28,1.186,0,2,0,0,0,0
495.91,14,666,21,0,563.01,0.881,0,3,0,0,0,0
696.39,17,1629,36,0,403.62,1.725,2,6,0,0,0,0
1085.12,17,1365,30,0,956.51,1.134,1,3,0,0,0,0
1588.32,17,1526,42,1,1097.74,1.447,1,1,0,0,0,0
1020.08,9,257,35,0,1665.26,0.613,0,2,0,0,0,0
3478.25,17,239,25,0,1710.76,2.033,1,3,0,0,0,0
618.8,9,1156,33,0,1471.64,0.42,2,2,0,0,0,0
1349.1,6,834,34,1,884.47,1.525,2,3,0,0,0,0
